school,gpa,sat,act,outcome,first_gen,state,sat_normalized,outcome_binary
harvard,4.4,1540.0,,rejected,0,,1540.0,0
uva,3.7,1500.0,,accepted,0,Virginia,1500.0,1
georgetown,3.7,1500.0,,accepted,0,Virginia,1500.0,1
harvard,4.0,1500.0,,accepted,0,Georgia,1500.0,1
yale,4.0,1500.0,,accepted,0,Georgia,1500.0,1
princeton,4.0,1500.0,,accepted,0,Georgia,1500.0,1
columbia,4.0,1500.0,,accepted,0,Georgia,1500.0,1
penn,4.0,1500.0,,accepted,0,Georgia,1500.0,1
harvard,4.48,1520.0,,accepted,1,VA,1520.0,1
yale,4.48,1520.0,,accepted,1,VA,1520.0,1
princeton,4.48,1520.0,,accepted,1,VA,1520.0,1
stanford,4.48,1520.0,,accepted,1,VA,1520.0,1
mit,4.48,1520.0,,accepted,1,VA,1520.0,1
yale,4.96,1590.0,,rejected,1,Texas,1590.0,0
a&m,4.96,1590.0,,accepted,1,Texas,1590.0,1
ut,4.96,1590.0,,waitlisted,1,Texas,1590.0,0
university of florida,3.63,1520.0,,accepted,0,California,1520.0,1
purdue university,3.63,1520.0,,accepted,0,California,1520.0,1
brown,4.3,1330.0,,rejected,0,,1330.0,0
unc-chapel hill,3.67,1410.0,31.0,rejected,0,NC,1410.0,0
usc,3.67,1410.0,31.0,accepted,0,NC,1410.0,1
dartmouth,4.0,1570.0,,accepted,1,NY,1570.0,1
university of pennsylvania,4.0,1570.0,,accepted,1,NY,1570.0,1
cornell university,4.0,1570.0,,accepted,1,NY,1570.0,1
williams college,4.0,1570.0,,accepted,1,NY,1570.0,1
mit,3.94,1570.0,,accepted,0,Texas,1570.0,1
uc santa barbara,4.64,1550.0,,accepted,0,California,1550.0,1
uc berkeley,4.64,1550.0,,rejected,0,California,1550.0,0
ucla,4.64,1550.0,,waitlisted,0,California,1550.0,0
uc san diego,4.64,1550.0,,waitlisted,0,California,1550.0,0
uc irvine,4.64,1550.0,,waitlisted,0,California,1550.0,0
uc davis,4.64,1550.0,,waitlisted,0,California,1550.0,0
boston college,3.87,1420.0,,rejected,0,OOS,1420.0,0
university of pittsburgh,3.87,1420.0,,waitlisted,0,OOS,1420.0,0
northeastern,3.87,1420.0,,waitlisted,0,OOS,1420.0,0
penn state,3.87,1420.0,,accepted,0,OOS,1420.0,1
virginia tech,3.87,1420.0,,accepted,0,OOS,1420.0,1
james madison university,3.87,1420.0,,accepted,0,OOS,1420.0,1
fordham,3.87,1420.0,,accepted,0,OOS,1420.0,1
syracuse,3.87,1420.0,,accepted,0,OOS,1420.0,1
lsu,3.87,1420.0,,accepted,0,OOS,1420.0,1
college of the holy cross,3.87,1420.0,,accepted,0,OOS,1420.0,1
umass boston,3.87,1420.0,,accepted,0,OOS,1420.0,1
uconn,3.87,1420.0,,accepted,0,OOS,1420.0,1
university of virginia,3.87,1420.0,,accepted,0,OOS,1420.0,1
usc,4.0,1540.0,,accepted,0,New York,1540.0,1
stanford,4.0,1550.0,,waitlisted,0,CA,1550.0,0
dartmouth,4.98,1540.0,,rejected,0,,1540.0,0
yale,4.98,1540.0,,rejected,0,,1540.0,0
brown,4.98,1540.0,,rejected,0,,1540.0,0
columbia college,4.98,1540.0,,rejected,0,,1540.0,0
